Cell_ID,Sample,x,y,Cell_Type
mouse2_slice229-100101435705986292663283283043431511315,mouse2_slice229,-4828.72780698538,-2203.45015412346,L6 CT
mouse2_slice229-100104370212612969023746137269354247741,mouse2_slice229,-5405.40030776709,-995.646678795665,OPC
mouse2_slice229-100128078183217482733448056590230529739,mouse2_slice229,-5731.40331024677,-1071.17352626473,L2/3 IT
mouse2_slice229-100209662400867003194056898065587980841,mouse2_slice229,-5468.11330566555,-1286.24650134891,Oligo
mouse2_slice229-100218038012295593766653119076639444055,mouse2_slice229,-6399.98615794852,-959.744029998779,L2/3 IT
mouse2_slice229-100252992997994275968450436343196667192,mouse2_slice229,-6637.84723167978,-1659.62370165177,Astro
mouse2_slice229-100325843498323332973593172221897522441,mouse2_slice229,-5125.8698104322,-1070.84802627563,L2/3 IT
mouse2_slice229-100439419488631006065001264548872145815,mouse2_slice229,-6032.19438186921,-1335.22845582031,Endo
mouse2_slice229-100537296708423529294620338325020208352,mouse2_slice229,-6053.5254811544,-1443.39752719551,Endo
mouse2_slice229-10059511920416107609114226895851716662,mouse2_slice229,-5514.04331082851,-2048.70550260693,L6 IT
mouse2_slice229-100638273071873618149271275552715956259,mouse2_slice229,-5332.36896021441,-1439.49152732641,L4/5 IT
mouse2_slice229-100671016441693914217668647991129660553,mouse2_slice229,-5105.9654860992,-1419.7336779885,L4/5 IT
mouse2_slice229-100720170322006109344235538618116482905,mouse2_slice229,-4789.4616583012,-2365.59205773249,Endo
mouse2_slice229-100804061544407699534631450192221645541,mouse2_slice229,-5089.36845495328,-2270.51400187612,Oligo
mouse2_slice229-100901273482988865806198755778648210449,mouse2_slice229,-5940.72345993444,-1680.9385259375,Sst
mouse2_slice229-100938821626060182279300163390849753070,mouse2_slice229,-5977.84130869061,-1430.32327763364,Oligo
mouse2_slice229-100951445512857749484903656088181692524,mouse2_slice229,-6431.54880689085,-1731.36275653914,L6 CT
mouse2_slice229-101037759579062319842334498585647746208,mouse2_slice229,-5696.41206141934,-1734.5092564337,L6 CT
mouse2_slice229-101287290573715234091289665802822759955,mouse2_slice229,-5546.37630974501,-1496.11767542884,Astro
mouse2_slice229-101292054727023699940084723080525703923,mouse2_slice229,-5623.19430717081,-797.493504323065,Vip
mouse2_slice229-101309842837429997996968984904850437068,mouse2_slice229,-4959.1847343158,-2310.49625053629,L6 CT
mouse2_slice229-101321346456865197321271593749001816530,mouse2_slice229,-5474.73180544376,-1519.34752465039,L5/6 NP
mouse2_slice229-101348232171669752690315868432931959773,mouse2_slice229,-5654.76780611277,-854.781502403319,Endo
mouse2_slice229-10138533682039880561404443617352793568,mouse2_slice229,-6647.38980636001,-1705.56802511215,Endo
mouse2_slice229-101447995640053442033078488164151494090,mouse2_slice229,-5205.29180777073,-1010.7932782881,PVM
mouse2_slice229-101483792294860922370624581866275320477,mouse2_slice229,-6583.00048351772,-729.800356591493,L2/3 IT
mouse2_slice229-10151908575654585133810371864721054881,mouse2_slice229,-5672.45330552012,-1751.70650585741,L5 IT
mouse2_slice229-101525131450480702236293360754962091490,mouse2_slice229,-6160.69830926508,-1759.35575560108,Oligo
mouse2_slice229-10153303157203652703856664968554311040,mouse2_slice229,-6487.24381172657,-672.258526228368,OPC
mouse2_slice229-101535773013674327302889112540226493989,mouse2_slice229,-6044.46030645818,-1381.97567925379,Oligo
mouse2_slice229-101629347104886505416736320941505998277,mouse2_slice229,-6318.49181067944,-1067.64727638289,Astro
mouse2_slice229-101712231616222398925537646580130664115,mouse2_slice229,-4797.37130803615,-2332.29340884835,Oligo
mouse2_slice229-101719749652006367526920788016955749131,mouse2_slice229,-6466.160305731,-1794.77015441433,Oligo
mouse2_slice229-101754299367417143868747224767827040480,mouse2_slice229,-5879.97431197017,-2083.31700144708,Oligo
mouse2_slice229-101922394367801471702351873064242185476,mouse2_slice229,-5966.01480908692,-2061.94250216335,Oligo
mouse2_slice229-101962572563250771989915886489894336774,mouse2_slice229,-5046.79305638,-958.870605028048,L2/3 IT
mouse2_slice229-102023651599449487069950207912755510999,mouse2_slice229,-5598.94455798343,-2040.24250289053,PVM
mouse2_slice229-102027591134106762003384317832584762118,mouse2_slice229,-5414.4600574635,-1258.30232728533,L4/5 IT
